ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
USDCAD=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0024419400954991096,-0.07031542226046905,-0.0007278369478577062,20,54,20
USDCHF=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0011448685749611861,0.005908197466124143,-0.0011210431582118648,20,54,20
USDINR=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.0009406503863490911,0.01057883490184408,-0.00020217955208801574,20,54,20
USDJPY=X,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.000697411591437605,-0.026168467785616656,-0.0003736139670670052,20,54,20
V,FTX_Collapse_2022,2022-10-01,2022-12-15,True,0.007467565574591635,-0.15502392293694567,0.002403825970719882,20,53,20
XOM,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0014715961850863758,0.04014530466843791,-0.0003570689666507623,20,53,20
ZC=F,FTX_Collapse_2022,2022-10-01,2022-12-15,True,-0.0010237887405177958,-0.01690039541761601,-0.00038757337399055787,20,53,20
AAPL,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.003802490343278696,-0.048441943074653215,-0.0008364589444724388,20,30,20
AMZN,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.000453332814151414,0.1081276743070414,-0.0004683948317107386,20,30,20
AUDUSD=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0006498414464311648,-0.05133929381893809,0.0003962341233663005,20,31,20
AXISBANK.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.002523729908253631,-0.07121409947264412,-9.254147700259178e-05,20,30,20
BAC,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.001202054687629664,-0.05718003643355518,0.002856145322337688,20,30,20
BHARTIARTL.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0006834536281027687,-0.05234266799496479,0.0012873114762181,20,30,20
BRK-B,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0023074674478895446,0.026162865810749336,-0.001254527475300125,20,30,20
BTC-USD,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0028287689204300587,-0.281210054560585,0.0009595389012518951,20,43,20
BZ=F,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.00401364933343347,0.46481628627214255,-0.012315475824661292,20,30,20
CL=F,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-443854153835.7599,-inf,2775461109668.4033,20,30,20
CVX,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.006136105188765855,0.032040851341371246,0.007455943851848624,20,30,20
DIS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0036539200143392535,-0.02875686815992462,0.0009505635058850556,20,30,20
